Hospital Name,Address,Availability,Type of Hospital/Health facility,Contact,State
B.M.Silver Jubilee Multi Speciality Hospital,"41, Dharga Road, Pallavaram, Kancheepuram, Chennai-600043","Few Left, Book Now",Private,9618179500,Jammu
B.N.V Hospital Pvt Ltd,"Thiruvallam Post,Trivandrum",Available,Government,9616173030,Rajasthan
B.P. Poddar Hospital & Medical Research Ltd,"71/1, Humayun Kabir Sarani,New Alipore,Blk-G,New Alipore, Block-G,Kolkata",Available,Government,9090289990,Haryana
B.P.Jain Hospital,"Plot No.6,Gokulam Colony,Anna Salai,Pammal,Kanchipuram",Unknown,Government,9101598563,Puducherry
B.R. Hospital,"10&12, Alamaram Street, Tiruttani.",Unknown,Government,9258247200,Maharashtra
B.R. Memorial Hospital,"Fca-103, Mukesh Colony, Ballabgarh, Faridabad-121004","Few Left, Book Now",Private,9949637989,West Bengal
B.S. Hospital,"# 16, 3Rd Main Road,Chitlapakkam,",Unknown,Government,9423207372,Assam
B.S.S. Hospital,"New No 200, Old # 179/1, R.K. Mutt Road, Mandaveli,",Unknown,Government,9793005716,Chhattisgarh
B.Siddaramanna Hospital,"Opp Ib Railway Station Road,Gandhinagar",Unknown,Government,9503230181,Chhattisgarh
B.T. Hospital,"182, Mukherjee Park,Khyla Road",Unknown,Government,9332339724,Mizoram
Babus Maternity Hosptial,"# 7, Doraisamy Reddy Street, Tabaram",Unknown,Government,9858948146,Uttarakhand
Baby Hospital,"12-2-950(12-358)Sai Nager 2Nd Cross,Anantapur",Unknown,Government,9916863963,Andhra Pradesh
Baby Memorial Hospital Ltd,"Indira Gandhi Road, E.K. Nayanar Flyover",Unknown,Government,9833875414,Kashmir
Bacc Health Care Private Limited,"No 6/7, Kumara Krupa Road,High Grounds,",Unknown,Government,9360250112,Haryana
Badade Hospital,"Agarwal Chambers,Mumbai Pune Highway","Few Left, Book Now",Private,9828787439,Madhya Pradesh
Bafna Hospital & Orthopaedic Research Centre,"18/1, North Rajmohalla",Unknown,Government,9118146843,Gujarat
Bagade Hospital For Women & Maternity Home,"B.No. 7B F. No.3+4, Agarsen Nagar Dapodi, Pune-Mumbai Road, Opp .Atlas Copco Co Dapodi","Few Left, Book Now",Private,9187527671,Mizoram
Bagdi Nursing Home,"3Rd Floor, #10, Solaiappan Streett.Nagar",Unknown,Government,9936691456,Maharashtra
Bahl Hospital & Medical Research Centre,"Hanumangarh Road, Chahal Chowk,Sri Ganga Nagar, Rajasthan.",Unknown,Government,9556471012,Rajasthan
Bahusar Nursing Home,"#3587,B.M. Road,Hunsur.",Unknown,Government,9704494671,Himachal Pradesh
Bajaj Eye Care Centre,"101, Vikas Surya Plaza, Plot # 7, Dda Community Centre Road # 44, Pitampura.",Unknown,Government,9406268246,Jharkhand
Bajwa Hospital,"No.314-315,Akash Avenue,F.C.Road,",Unknown,Government,9927178535,Arunachal Pradesh
Bakhtar Hospital,"Raja Peth, Amravati-444601.",Unknown,Government,9062624329,West Bengal
Bakshi Hospital,"Str # 3, Bibiwala Road,Bathinda",Unknown,Government,9141744982,Meghalaya
Balagangadhara Varma Nursing Home & Research Center,"No 17, First Main Road,Narayanapuram",Unknown,Government,9213015254,Sikkim
Balaji Accident Hospital,Malegaon Camp,Unknown,Government,9984654488,Telangana
Balaji Eye Care & Laser Centre,"1St Floor,D-No 6-3788/32,Durganagar Colony Main Road,Ameerpet",Unknown,Government,9666770626,Puducherry
Balaji Healthcare (Rajpal Hospital),"Plot #.13, Sector 10, Kopar-Khairane",Unknown,Government,9735165368,Chhattisgarh
Balaji Hospital,"Rohtak Road,",Unknown,Government,9339685309,Kerala
Balaji Hospital,"Balaji Hospital 43/19 N.R. Peta, Kurnool-500001",Unknown,Government,9939070271,Meghalaya
Balaji Hospital,"Plot #34,34/A,Pet Basheerabad,Ncl South,Medchal Road,Ranga Reddy",Unknown,Government,9115246737,Haryana
Balaji Hospital,"#15-4-17, S.V.N Road ,Warangal-506002",Unknown,Government,9296491078,Delhi
Balaji Hospital,"40/1, J.J.R. Nagar Main Road,K.H. Ranganath Colony.",Unknown,Government,9477477534,Assam
Balaji Hospital,"B.H. Road, Tiptur.Near Aralikatte",Unknown,Government,9034373429,Tamil Nadu
Balaji Hospital,"11/787, Brindavan Street,Near Town Hallpalakkad",Unknown,Government,9093554926,Uttar Pradesh
Balaji Hospital,"No.14,Varadanar Street,Vedachalanagar,Chengalpattuvedachala Nagar",Unknown,Government,9593229575,Kashmir
Balaji Hospital,"Victoria Road, Cross Lane 3.",Unknown,Government,9404107014,Arunachal Pradesh
Balaji Hospital,"Bye Pass Chowk,Nagar Road",Unknown,Government,9750907132,Chhattisgarh
Balaji Hospital,"Golden Nest Phas 5 Mira Road,Bhayandar Thane.","Few Left, Book Now",Private,9776255363,Tamil Nadu
Balaji Hospital ( A Unit Of Shri Vhmrc Pvt Ltd),"Opp. Vidya Vikas School, Subhanpura.",Unknown,Government,9349620523,Punjab
Balaji Maternity & Nursing Home,"A 7/28,Hiramoti Complexshivaji Nagar, Wagle Estate",Unknown,Government,9826264813,Nagaland
Balaji Nursing Home,"Dommasandra Bus Stop,",Unknown,Government,9035104203,Manipur
Balaji Nursing Home,"T.B. Road,Kadur.",Unknown,Government,9781034653,Karnataka
Balaji Speciality Hospital,"1St Floor, Jalaram Commercial Centre,Sakivihar Road,Sakinaka,",Unknown,Government,9143691819,Haryana
Balaji Surya Hospital,"#129,Pollachi Road,Dharapuram",Unknown,Government,9562199941,Delhi
Balakrishna Eye Hospital & Eye Research Centre,"11, Sastri First Cross Street, Chennai, Tamilnadu","Few Left, Book Now",Private,9603773096,Kashmir
Balanku Hospital,"Near Basavana Bhavi Chowk, Basavanagara, Raichur-584102",Unknown,Government,9948639607,Rajasthan
Baldwa Hospital,"Sumer Nagar, S.V. Road, Borivali West",Unknown,Government,9751177492,Delhi
Bali Nursing Home,"D.B.Gupta Road, Karol Bagh",Unknown,Government,9319802498,Himachal Pradesh
Ballabgarh Nursing Home,"64,65-Mukesh Colony Ballabgarn",Unknown,Government,9636748056,Arunachal Pradesh
Banarasidas Chandiwala Institute Of Medical Sciences,"Chndiwala Estate, Maa Anandmai Marg Kalkaji, New Delhi","Few Left, Book Now",Private,9383839773,Delhi
Banashankari Hospital Pvt Ltd,"Chitguppipark, Pinto Road,Hubli Dharkiad",Unknown,Government,9111054842,Assam
Bangalore Baptist Hospital,"Bellary Road, Hebbal, Bangalore-560024, Opp University Of Agricultural Sciences (Near Hebbal Flyower)","Few Left, Book Now",Private,9524662748,Andhra Pradesh
Bangalore Eye Hospital & Retina Centre,"4C,426 4Th Cross, 2Nd Block,Kalyannagar.","Few Left, Book Now",Government,9721868450,Odisha
Bangalore Nethralaya Super Speciality Eye Hospital,"#946,21St Main, Near Bda Complex,Banashankari ,2Nd Stage",Unknown,Government,9855648183,Bihar
Bangur Medicare Research Institute,"No.8A,Diamond Harbour Road,24 Parganas(S),3A Bus Stand-Thakurpukur,",Unknown,Government,9629153527,Uttarakhand
Bani Park Hospital( Heart. Eecp & Multispecialty),"D-9, Kabir Marg, Bani Park, Jaipur",Limited Seats,Municipal,9164968804,Tripura
Bankers Heart Institute,"Near Tagorenagar,Old Padra Road,Opp Suryakiran Building,",Unknown,Government,9845870412,Uttar Pradesh
Bankura Nursing Home,"Patpur,Bankura",Unknown,Government,9385308961,Tamil Nadu
Bansal Hospital & Research Centre Pvt Ltd,"3590, Bajar Sitaram, Delhi","Few Left, Book Now",Private,9464372323,Delhi
Bansal Hospital And Research Centre,"#4, Janakpuri-1St, Imli Phatak.",Unknown,Government,9673352599,Tripura
Bansal Hospital(A Unit Of Namedi Hospitalpvt Ltd,"No.A-1,New Friend'S Colony,",Unknown,Government,9360417620,Kashmir
Bansal Nursing Centre (A Unit Of Pahari Mata Medical (P) Ltd),"# 20, Dobson Road,Howrah-711101.",Unknown,Government,9448671737,Puducherry
Bapat Hospital,"Ahd-30, Sukhlia",Unknown,Government,9966178550,Nagaland
Bappu Clinic & Nursing Home,"#46, Kalaingar Main Road,Srinivasa Nagar, Perungalatur,",Unknown,Government,9311689994,Sikkim
Baptist Christian Hospital,"Mission Chariali, 4 Corps Army Battalion. Tezpur",Unknown,Government,9104256449,Telangana
Bapuji Maternity & Nursing Home,"7-44,Bapuji Nagarnacharam",Unknown,Government,9778812615,Tamil Nadu
Bapuji Nursing Home,"1St Cross, Someshwar Puram,Tumkur-572102.",Unknown,Government,9134075467,Nagaland
Baradkar Hospital & Maternity Home,"14,A-3,Meera Queen,Opp Laxmi Cars,W.E.Highway,Kashimira,Thane","Few Left, Book Now",Private,9287240390,Assam
Bardia Hospital,"Paratwada, Amravati,Opp. S.T. Stand.",Unknown,Government,9199572980,Telangana
Bareja Hospital,"Main Road, Fatehpur Billoch,Ballabgarh",Unknown,Government,9519348434,Rajasthan
Bargachia Nursing Home,"Bargachis, J.B.Pur, Opp Petrol Pump.",Unknown,Government,9361342140,Mizoram
Baroda Heart & Multispeciality Hospital,"71 To 91,Capital Business Centre,Upper Ground Floor,Wing B,Panchbatti Oppcentral Bank Of India,Station Road,",Unknown,Government,9216460575,Maharashtra
Baroda Heart Institute And Research Centre,"44, Haribhakti Colony, Race Course,Vadodara",Limited Seats,Municipal,9138635954,Meghalaya
Barrackpore Medicare & Recovery Centre Ltd,"No.6/6,B.T.Road,Talpukur,Titagarh,24-Parganas(North)",Unknown,Government,9865257820,Chhattisgarh
Barsa Nursing Home,"By Pass Square, Pattamundai",Unknown,Government,9258759280,Maharashtra
Barthakur Clinic Pvt Ltd,Karghuli Road Kharghuli,Unknown,Government,9740076590,Punjab
Basant Sahney Hospitals.,"#253,Nehru Nagar,Road No.11,West Marredpally,K.Konda Reddy Street,Secunderabad,",Unknown,Government,9978279130,Arunachal Pradesh
Basappa Memorial Hospital,"22-B, Vinobha Road, Mysore-570012",Available,Government,9934861950,Gujarat
Basappa Multispeciality Hospital,"Basapa Hospital Building,Turuvanur Road,",Unknown,Government,9166129326,Goa
Basavanagudi E.N.T. Care Centre,"44/1, H.B. Samaja Road, Basavanagudi",Unknown,Government,9316970531,Uttar Pradesh
Basavangudi Medical Centre,"84/1, R.V. Road, Basavanagudi,Bangalore-560004.","Few Left, Book Now",Private,9442150207,Madhya Pradesh
Basavatarakam Indo American Cancer Hospital & Research Institute,"Road No 14, Banjara Hills, Hyderabad-500034","Few Left, Book Now",Private,9731391753,Kerala
Bassi Nursing Home Pvt Ltd,"B-970,Nea Dhubighat,Rajpura Road",Unknown,Government,9894439170,Mizoram
Batalia Eye Hosptial,"Dr. Batalia Road, Near Clock Tower",Unknown,Government,9982184622,Haryana
Batra Hospital,"1 ,Tughkalabad Institutional Am.B Road",Unknown,Government,9323988305,Mizoram
Batra Hospital,"112-116,Chaturbhai Park Sangam Warasia Ring Road",Unknown,Government,9467496029,Uttar Pradesh
Batra Hospital,"#17, Zone-1, Mp Nagar",Unknown,Government,9912385146,Andhra Pradesh
Bavishi Eye Hospital,"# 1, Tapovan Society, S.N. Road, Ahmedabad-380015","Few Left, Book Now",Private,9318654500,Telangana
Bavishi Hospital,"Opp Manjulal Municipal Garden,Near Adani Cng Pvmp Station",Unknown,Government,9374876859,Himachal Pradesh
Bawa Hospital Pvt Ltd,"Near Old Dandi Swami Mandir, Civil Lines",Unknown,Government,9809195143,Haryana
Bay View Clinic,"3/3A, M. Parmanand Road,Mumbai-400004,","Few Left, Book Now",Private,9697724657,Tripura
Bbc Heart Care Pruthi Hospital,"301, Lajpat Nagar, Jalandhar.Punjab.",Unknown,Government,9645525745,Punjab
Be Well Hospitals Pvt Ltd,"No. 15, Lawspet, Green Garden, Ecr, Pondicherry, Shenbaga Motors (Maruthi Show Room)",Unknown,Government,9823177547,Telangana
Beams Hospitals Privated Limited,"640, 12Th Main, 80 Ft Road, 4Th Block, Koramangala, Bengaluru-560034",Unknown,Government,9235516208,Tamil Nadu
Beams Hospitals Pvt Ltd-Amritsar,"29-B, Race Course Road, Amritsar, Punjab-143001",Available,Government,9104035694,Punjab
Beams Hospitals Pvt Ltd. Hyderabad,"Plot No. 99, Road No-1, Jublee Hills, Hyderabad-500033","Few Left, Book Now",Private,9826441742,West Bengal
Beas Hospital,"The Mall,Dhalpurdhacpur",Unknown,Government,9087248277,Madhya Pradesh
Behera Nursing Home,"National Highway # 6, Bargarh, Infront Of R.T.O",Unknown,Government,9880931806,Arunachal Pradesh
Behl Hospital,"B-128, Naraina Viahar",Unknown,Government,9262680756,Odisha
Bejan Singh Eye Hospital Pvt Ltd,"No.2/1,313C,M.S.Road,Vettoornimadam,Nagercoil,",Unknown,Government,9626184190,Mizoram
Belaku Eye Hospitals Pvt Ltd,"#769, 1St Cross, Ring Road, Kengeri Upanagar, Bangalore-560060Kengeri Upanagara","Few Left, Book Now",Private,9474515471,Bihar
Belgaum Cancer Hospital Pvt Ltd,"#9666A-2/D,Ashok Nagar, Belgaum-590010",Unknown,Government,9959427637,West Bengal
Belgaum Children'S Hospital Pvt Ltd,"1St Floor,Samsukha Complex,Khade Bazar",Unknown,Government,9882647574,Himachal Pradesh
Belle Vue Nursing Home,"Sejal, 1St Floor, New Link Road Off Veera Desai Road Andheriroad, Versova, Andheri(W)","Few Left, Book Now",Private,9349707947,Sikkim
Belle Vue'S Cambridge Hospital,"18/17, Cambridge Road, Ulsoor, Bangalore-560008","Few Left, Book Now",Private,9492098131,Maharashtra
Bellona Nursing Home And Diagnostic Centre Private Limited,"51 A, Diamond, Harbour Road, Mominpur Crossing.",Unknown,Government,9672092033,Goa
Belokar Hospital,Vijay Colony Rukhmini Nagar,Unknown,Government,9726596653,Uttar Pradesh
Bembde Hospital,"14, Beed By Pass Road, Near Shahanoorwadi Rly Crossing, Satara Parisar, Aurangabad, Maharashtra",Unknown,Government,9047407081,Maharashtra
Benaka Health Centre,"Lhh Road,Near Jyothi Takies,Mangalore-575003",Unknown,Government,9308272556,Manipur
Bendre Hospital And Maternity Home,"7375,Deshmukhwadi,Sarjapura",Unknown,Government,9971584875,Nagaland
Bensups Hospital,"Bensups Avenue,Sector-12, Dwarka Metro Station",Unknown,Government,9911491238,Tamil Nadu
Benuban Health Care & Diagnostic Centre,"Bultikuri,Near Japani Gate Esi Hospital",Unknown,Government,9932270308,Sikkim
Benzer Nursing Home,"2Nd Cross Road,Lokhandwala Complex,Andheri West","Few Left, Book Now",Private,9387409499,Manipur
Beri Maternity Centre,"G.T.Road Putlighar,Amritsarganga",Available,Government,9739967931,Telangana
Bethany Hospital,"Next To Glaxo,Opp. Ma Niketan,",Unknown,Government,9260955119,Mizoram
Bethel Hospital (P) Ltd,"# 223, Dr. Rajendra Prasad Road.",Unknown,Government,9249562486,Uttarakhand
Better Health Pvt Ltd,"Pallav J.M. Desai Memorial Hospital, Maninagar East.",Unknown,Government,9849931352,Chhattisgarh
Better Sight & Research Centre,"Sector 7,B/29-004,Shantivagar,Mira Road East,Thane","Few Left, Book Now",Private,9512335829,Telangana
Bgm Hospital,"1/249,New Nathan Road,Iyyer Bungalow",Unknown,Government,9087131976,Chhattisgarh
Bgs Global Hospital,"#67,Uttarahalli Road,Kengeri",Unknown,Government,9335625129,Puducherry
Bhadra Nursing Home,Gandhinagar,Unknown,Government,9911176337,Himachal Pradesh
Bhagat Chandra Hospital (A Unit Of Bhagat Hospitals (P) Ltd.),"Rz-F1/1, Mahavir Enclave, Near Dwarka Airport Flyover, New Delhi.","Few Left, Book Now",Private,9665202710,Delhi
Bhagat Hospital,"D-2/48-49, Janakpuri, New Delhi","Few Left, Book Now",Private,9534423041,Delhi
Bhagat Nursing Home,Ganesh Nivas 2Nd Floorpai Nagar,Unknown,Government,9638304819,Tripura
Bhagavathi Multi Speciality Hospital,"L-168, 6Th Sector, Hsr Layout, Bangalore-560102","Few Left, Book Now",Private,9086533245,Punjab
Bhagawati Netralaya,Manik Chowk Chakan Tal Khed,Unknown,Government,9506606636,Uttar Pradesh
Bhagirathi Hospital,"Hanuman Bazar,Kamakshyanagar",Unknown,Government,9514412616,Odisha
Bhagwan Mahaveer Cancer Hospital And Research Centre,"Jawaharlal Nehru Marg, Near Saras Dairy.",Unknown,Government,9642035444,Bihar
Bhagwan Mahaveer Darshan Eye Hospital,"Opp. K.R. Mills, Mysore Bangalore Road, Siddalingapura, Mysore-570003","Few Left, Book Now",Private,9645642539,Meghalaya
Bhagwan Mahaveer Eye Hospital,"# 142, M.S. Koil Street, Royapuram.",Unknown,Government,9709543218,Karnataka
Bhagwan Mahaveer Jain Heart Centre( A Unit Of Srinivasa Cardiology Centre Pvt Ltd),"#8,Millers Tank Bund Road Near Cantonment Railway Station",Unknown,Government,9995359411,Tamil Nadu
Bhagwan Mahaveer Jain Hospital,"No.17, Millers Road, Vasanthnagar, Bangalore-560052","Few Left, Book Now",Private,9661323770,Tripura
Bhagwan Mahaveer Jain Netralaya,"#3, Railway Platform Road,Sheshadripuram, Policestation Opp. Roadsheshadripuram",Unknown,Government,9475920513,Gujarat
Bhagwan Mahavir Hospital,"Sector-14, Ext., Rohini, Madhuban Chowk.",Unknown,Government,9066079003,Nagaland
Bhagwat Maternity And Nursing Home,"Court Road,Sagar",Unknown,Government,9043795639,Sikkim
Bhagwati Healthcare Pvt Ltd,"Plot # 2, Rameshwadi, Kulgaon Badlapur Road, Badlapur West",Unknown,Government,9057025078,Maharashtra
Bhagwati Hospital,"Cs/Ocf 6 , Sector 13 Rohininear Printers Apt",Unknown,Government,9316972109,Jharkhand
Bhagwati Urology Hospital,"Amrish Complex,4Th Floor,Gurudwara Road, Indira Marg.",Unknown,Government,9497150584,Tripura
Bhagyoday Tirth Hospital,Khurai Road,Unknown,Government,9783308603,Bihar
Bhagyojaya Hospital,Indapur Road,Unknown,Government,9422915046,Delhi
Bhailal Amin General Hospital,Bhailal Amin Marg Gorwabaroda,Unknown,Government,9591966411,Chhattisgarh
Bhakti Hospital,"Pune Nagar Road,Sanaswadi Chowk","Few Left, Book Now",Private,9276068081,Gujarat
Bhaktivedanta Hospital,"Sector-1, Srishti Complex, Mirthane","Few Left, Book Now",Private,9825615024,Jharkhand
Bhalerao Ent Hospital,"Ganaraj Complex,2Nd Floor,# 3,Near Mahaslkant Chowk,Akurdi",Unknown,Government,9818462456,Punjab
Bhandari Hospital,"204, Ligh,",Unknown,Government,9541783652,Mizoram
Bhandari Hospital & Research Centre,"Gf-21,22,23 Scheme # 54, Vijay Nagar",Unknown,Government,9880912639,Jharkhand
Bhandari Hospital & Research Centre(A Unit Of Bhandari Health Care Pvt .Ltd),"138-A, Vasundhara Colony,Gopalpura By-Pass,Tonk Road,Gopalpura By-Pass, Tonk Road,",Unknown,Government,9116136295,Nagaland
Bhandari Maternity & Nursing Home,"5,Dhanlaxmi Society,Sinhagad Road",Unknown,Government,9066134338,Madhya Pradesh
Bhandari Polyclinic Pvt Ltd,"#659, Napier Town,",Unknown,Government,9336055535,Tamil Nadu
Bhanu Nursing Home,"69/5B, Bommanahalli, Hosur Rd,Bangalore","Few Left, Book Now",Private,9047280533,Punjab
Bharani Paventhan Multi Speciality Hospital,"74, Sampath Nagar Erode Tamilnadu",Unknown,Government,9337010295,Arunachal Pradesh
Bharat Hospital And Research Centre,"Patrakar Colony, Near Ranital Chowk",Unknown,Government,9319418243,Telangana
Bharat Surgical & Maternity Centre,"Handiaya Road, 5 No Street.",Unknown,Government,9559493259,Telangana
Bharat Vikas Parishad Hospital Research Centre,"Pratapnagar, Dada Bari.",Unknown,Government,9027528821,Madhya Pradesh
Bharath Hospital,"Azad Lane ,Thirunakkara",Unknown,Government,9911540343,Uttarakhand
Bharath Hospital,"# 72, I St Main Road,Nanganallur",Unknown,Government,9319487904,Sikkim
Bharath Hospital & Institute Of Oncolgy,"# 438, Outer Ring Road, Hebbal.",Unknown,Government,9196287843,Mizoram
Bharath Nursing Home,"# 1402, Near Vegitable Market, J.P Nagr 1St Phase, Bangalore-560078Kanakapura Main Road.","Few Left, Book Now",Private,9469507564,Kashmir
Bharath Rural Hospital & Training Centre,"Kuriapilly,Moothakunnam",Unknown,Government,9328662419,Punjab
Bharathi Hospital,"1/82, R.S. Road, Kadapa-516001",Unknown,Government,9839012811,Goa
Bharathi Hospital,"14-24-1, Men'S Hostel Road, Maharanipet, Visakhapatnam-530002",Limited Seats,Municipal,9993514426,Assam
Bharathi Hospital,Dr.Bharathi Ravindranath Bajab Soaw Room,Unknown,Government,9601808041,Tripura
Bharathi Hospital,"4Th Cross,Barkline Road, K.R. Extension, 4Th Cross, Tumkur-572101",Unknown,Government,9305207843,Mizoram
Bharathi Hospital,"# 592/2,Sri Renga Palayam,Rajapalayam",Unknown,Government,9096917959,Jharkhand
Bharathy Hospital,"#4,Nagarabhavi Main Road,Prashanth Nagar",Unknown,Government,9936277637,Kashmir
Bharatiya Arogya Nidhi Sheth Kantilal C. Parikh General Hospital,"N.S.Road.No.13, Jupds, Mumbai, Maharashtra","Few Left, Book Now",Private,9235757198,Maharashtra
Bhardwaj Hospital,"Nh-1, Sector-29,Gautam Budh Nagar",Unknown,Government,9731966967,Tripura
Bhardwaj Nursing Home,"Beside Bus Stand,Rtc,Thorrur,",Unknown,Government,9614437124,Haryana
Bhargava Hospital,"15/263, Civil Lines, Kanpur",Limited Seats,Municipal,9851028513,Kerala
Bhargava Hospital & Research Centre,"Kohli Mohalla Jhalrapatan,Jhalawar",Unknown,Government,9064550977,Jharkhand
Bhargava Nursing Home,"Magarpara Road,",Unknown,Government,9697523486,Chhattisgarh
Bhargava Nursing Home,"Gopal Bhuvan, Tagore Road, Santacruz(W), Mumbai","Few Left, Book Now",Private,9832639428,Gujarat
