Hospital Name,Address,Availability,Type of Hospital/Health facility,Contact
Devaki Cancer Institute,"#26,Theni Main Road,Arasaradi,Near Bypass Road",Unknown,Unknown,9283734674
Devaki Hospital,"No.6/1,Kamban Mani Mandapam Road,Karaikudi,",Unknown,Unknown,9814099854
Devam Orthopaedic Hospital,"215-216, Sarvopari Mall, Near Bhuyangdev Cross Road, Sola Road, Ghatlodia, Ahmedabad- 380061, Gujarat","Few Left, Book Now",Private,9877309891
Devamatha Hospital,# 365/15 Old Nh Near Post Offic Located Near To Christian Pilgrim Centre St.Mary'S Forane Church Koratty,Unknown,Unknown,9560014064
Devasya Kidney And Multispeciality Hospital,"3, Panchal Nagar Society, Opp Mehasana Society, Nava Vadaj Road,Vadaj",Unknown,Unknown,9229583414
Devi Laxmi Hospital,"B-19/5,Ring Road,Tagore Nagar",Unknown,Unknown,9198143937
Devi Nursing Home,"Nilambur, Malappuram Dt.,Kerala-679329",Unknown,Unknown,9526723807
Devi Priya Hospital,"12/54, A2G, T.B. Road,Usilampattiusilampatti, Madurai-625532.",Unknown,Unknown,9316033852
Devi Priya Life Care Hospital,"58-1-433/2,Main Road,Santhinagar,Nad Post",Unknown,Unknown,9280388839
Devi Super Speciality Eye Hospital Private Limited,"#434, 18Th Main, 80 Feet Road, 6Th Block Bus Depot. Block,Koramangala. Bangalore-560095","Few Left, Book Now",Private,9056463767
Devishiv Hospital,"B-328-B, Sector B, Mahanagar",Unknown,Unknown,9496240439
Devpushp Hospital,"Devpushp Complex,Tulsidham Cross Road,Manjalpur",Unknown,Unknown,9336675421
Devyane Hospital,"Kalakuan, Manumarg, Infront Of Bsnl Colony.",Unknown,Unknown,9196768501
Dewang Nursing Home (P) Ltd,"Bhaveshwar Market, 2Nd Floor,M.G. Road, Ghatkopar (E).",Unknown,Government,9816543111
Dewas Hospital And Research Centre,"231,A.B. Road,Dewas",Unknown,Unknown,9617703526
Dey'S Hospital,"491, Kazi Khera, Lal Bangla, Kanpur, Uttar Pradesh-208007, Near Poonam Talkies",Limited Seats,Municipal,9756808608
Dhama Clinic & Medical Centre,"C-46, Sector-34, Noida","Few Left, Book Now",Private,9487505655
Dhamdhere Hospital,"Sanaswadi Poona Nagar Road,Talshirur",Unknown,Unknown,9700780405
Dhami Eye Care Hospital,# 82-B Kitchlu Nagar Ludhiana - 141001,Unknown,Unknown,9951193452
Dhanshree Hospital,"Gp-66, G Block, Midc,Chinchwad, Pune-411019.","Few Left, Book Now",Private,9493718422
Dhanush Hospital,Mahaveer Road Bagalkot,Unknown,Unknown,9429583793
Dhanush Hospital,"Behind Municipal Park,N.R.Extension,Chintamani,",Unknown,Unknown,9134477526
Dhanush Hospital,"#63, Byraveshwara Nagar 2Nd Main, Nagarbhavi Main Raod, Bangalore-560072","Few Left, Book Now",Private,9749736189
Dhanvantari Fracture Orthopaedic & Arthroscopy Cntre,"# 1717,B 7Th Lane, Rajaranpuri, 7Th Lane, Maharashtra",Unknown,Unknown,9391107894
Dhanvantari Hospital,"2Nd Floor,Nivedanam Complex,Soma Talaw Cross Road,Dabhoi Ring Road",Unknown,Unknown,9814358692
Dhanvantari Hospital (P) Ltd.,"Thakkar Palza, Kulgaon (E), Badlapur, Thane - 421503Badlapur, Thane - 421 503.","Few Left, Book Now",Private,9405239666
Dhanvantri Children'S Hospital & Nicu,2Nd Floor Mohan Heritage Building Opp Tmc Office Panchpakhadi,Unknown,Unknown,9355286333
Dhanvantri Hospital & Research Centre,"67/56-Manasarower,Heerapath",Unknown,Unknown,9346796143
Dhanvantri Jeevan Rekha Ltd,Umber One Near Gol Market,Unknown,Unknown,9208100029
Dhanwantari Hospital,"Krishna Prasad Society Plot # 42, Rambaug Colony, Paud Road",Unknown,Unknown,9084060325
Dhanwantari Medical,"Tilak Road, Pradhikaran, Maharashtra, Pune","Few Left, Book Now",Private,9720077251
Dhanwantari Tomer Hospital,"35-A-2/11, Rampur Bagh.",Unknown,Unknown,9945231478
Dhanwantary Hospital & Iccu,"545, Netaji Subhash Road, Mulund West, Mumbai","Few Left, Book Now",Private,9379245957
Dhanwantri Hospital & Research Centre,"New Sagar Road, Mansarovar Jaipur ,",Limited Seats,Municipal,9984229105
Dharam Hospital,"#2040, Sector-15C, Near Traffic Lights",Unknown,Unknown,9602897259
Dharan Hospital,"14,Seela Naicken Patti By Pass. On A National Highway Salem",Available,Government,9740900448
Dharani Nursing Home,"Doctirs Colony, Miryalaguda.",Unknown,Unknown,9582451128
Dharma Orthopedic Center,"D Building Om Mahavir Society,Irani Market Yerwada",Unknown,Unknown,9002547592
Dharmashila Cancer Hospital & Research Centre,"Dharmashila Marg,Vasundhara Enclavevasundhara Enclave, Delhi - 96","Few Left, Book Now",Private,9791860682
Dhawan Hospital,"Plot-1, Sector-7, Panchkula, Haryana",Unknown,Unknown,9506555086
Dhiviya Nursing Home,"306, Chennimalai Road, Kangayam",Unknown,Unknown,9344287416
Dhruva Eye Hospital & Laser Centre,Rashtriya Shala Main Road,Unknown,Unknown,9715610161
Dhulabapu Kokare Memorial Hospital,"Malavarchi Devi, Ring Road,Baramati",Unknown,Unknown,9980792203
Dhulipalla Hospital Guntur,"12-25-179,Kothapet, Opp Sivalayam, Guntur-522001",Unknown,Unknown,9115511636
Dhvani Ent Hosptial,Near G.P.O. Raopura.,Unknown,Unknown,9341518141
Dhwani General Hospital,"#28,New Kamlesh Society,Odhav",Unknown,Unknown,9212353571
Diagram Health Care,"4, R.M.V.Extensionmekhri Circle",Unknown,Unknown,9002987483
Dilkusha Nursing Home Pvt Ltd,94A Dilkusha Street Kolkata,Available,Government,9580751776
Dinesh Nursing Home,"No.6-1-33,West Street,Viswanathapuram, Madurai-625014",Unknown,Unknown,9961675979
Dipa Children Hospital&Micu,"Bhagwati Complex, Mahalaxmi Paladi.",Unknown,Unknown,9908863912
Disha Eye Hospital & Research Centre Pvt Ltd,"88(63A) Ghosh Para Road, Barrackpore",Unknown,Unknown,9887435403
Disha Eye Hospital (Hoogly) Pvt Ltd,"14.G.T. Road, Shedraphully, West Bengal",Unknown,Unknown,9807488004
Dispur Polyclinic & Nursing Home,Ganeshguri Chariali,Unknown,Unknown,9957990151
Divakars Global Hospitals,"No.220, 9Th Cross, J.P.Nagar 2Nd Phase, Bangalore-560078","Few Left, Book Now",Private,9479824061
Divine Heart Hospital & Resesarch Centre,"Virajkhand-5,Gomti Nagar",Unknown,Unknown,9576020106
Divine Medical Centre,Wadakkancherywadakkanchery,Unknown,Unknown,9210360306
Divine Multispeciality Hospital & Research Centre,"Plot No 21, Near Ekta Society, Sector 6, Ghansoli, Navi Mumbai-400701","Few Left, Book Now",Private,9175700519
Divine Nursing Home Pvt Ltd,"11A, Abinash Chandra Banerjee Lane,Beliaghata.",Unknown,Unknown,9736490531
Divine Speciality Hospital,"#110,6H Main,I.T.I Layout,Benson Town Post",Unknown,Unknown,9220030077
Divya Eye Clinic,"F-2,Shakun Apts, Above Bank Of Maharashtra ,Sanghavinagar,Aunoh,Pune","Few Left, Book Now",Private,9690987904
Divya Prabha Eye Hospital,"Padinjatil Lane,Kumarapuram",Unknown,Unknown,9598748312
Divya Prastha Hospital,"Rz-37,Main Road,Palam Colony,",Unknown,Unknown,9807716360
Divyadrishti Eye Hosptial,"996/22, Service Road,Rpc Layout, Bangalore","Few Left, Book Now",Private,9279248685
Dm Eye Care Delhi Pvt Ltd (Aster),5E/08 Railway Road Near Neelam Chowk,Unknown,Unknown,9212142278
Dm Wims ( Wayanad Institute Of Medical Secience),"Naseera Nagar, Meppadi, Wayanda, Kerala",Unknown,Unknown,9604644500
Doctor House,"Jail Road, Mehsana",Unknown,Unknown,9729754959
Doctor Rex'S Hospital,"# 37, Millers Road, Kilpauk",Unknown,Unknown,9495783106
Dogra Nursing Home & Endoscopy Centre,House No -8 Sector-19 A,Unknown,Unknown,9151134998
Dolphin Children Hospital,"17-87,Road #1,Kamalanagar,Chaitanyapuri,Dilsukhnagar",Unknown,Unknown,9001803220
Domjur Nursing Home,Attached To Hazra Building,Unknown,Unknown,9809905090
Doshi Nursing Home,"Amrut Kunj, Near Rly Station, Mg Road, Ghatkopar East-400077",Unknown,Government,9627622583
Down Town Hospital Ltd,"G.S. Road, Dispur",Unknown,Unknown,9343110171
Dr A.M Vaze,Shivaji Park,Unknown,Unknown,9892811022
Dr Agarwal'S Eye Hospital Ltd,"19, Cathedral Road",Unknown,Unknown,9747219589
Dr Agarwal'S Eye Hospital Ltd (Nanganallur),"Ophthalmology Dept Margreet Sydney Hospital No 13, 2Nd Street Nanganallur Chennai-600061","Few Left, Book Now",Private,9302890878
Dr Agarwal'S Healthcare Ltd,"18-92/C,D,E, S.S Towers Chaitanyapuri X Road Dilsukhnagar-500060Dilsukhnagar",Unknown,Unknown,9787008832
Dr Agarwal'S Healthcare Ltd,"Matarani Sensation 8-1-386, 387-8467 Rastrapati Road Secunderabad-500003",Unknown,Unknown,9584562771
Dr Agarwal'S Healthcare Ltd.,"Kade, Complex No 869, 2Nd Stage, Wcr 3Rd Stage, Basaveshwaranagar",Unknown,Unknown,9673769058
Dr Agarwals Eye Hospital Ltd,"#107, A Block 3Rd Avenue Anna Nagar Near",Unknown,Unknown,9564586688
Dr Agarwals Eye Hospital Ltd,"#33,7Th Avenue,Ashok Nagar",Unknown,Unknown,9385557697
Dr Agarwals Eye Hospital Ltd,"No-6, Duraisamy Street Tdk Towers Tambaram",Unknown,Unknown,9321027272
Dr Agarwals Eye Hospital Ltd,"#32-B,Indiragandhi Road Opp Taluk Office",Unknown,Unknown,9843591081
Dr Agarwals Eye Hospital Ltd (Dharmapuri),"136 1St Floor,Nethaji Bye Pass Road",Unknown,Unknown,9875759966
Dr Agarwals Eye Hospital Ltd (Gopalapuram),Retina Foudation No 31 1St Street Gopalapuram,Unknown,Unknown,9494437533
Dr Agarwals Eye Hospital Ltd (Kumbakonam),"2/381, Indiranagar,Kumbakonam",Unknown,Unknown,9303591005
Dr Agarwals Eye Hospital Ltd (Periyar Nagar),"B-63, Siva Elango Salai 70Feet Road, Periyar Nagar",Unknown,Unknown,9682748557
Dr Agarwals Eye Hospital Ltd (Salem),"#114/7,Gandhi Road,Salem",Available,Government,9920851681
Dr Agarwals Eye Hospital Ltd (Villupuram),"#19, Trichy Trunk Road,Near To Villupuram Signal",Unknown,Unknown,9515444062
Dr Andals Lakshmi Fertility Reserch & Laparoscopic Surgical Centre,"16-2-94, Pogathota, Near Raghava Cini Complex, Nellore-524001",Unknown,Unknown,9228243697
Dr Baliga Nursing Home,"Paras, S.V.Road, Goregaon W-400062Mumbai-400062","Few Left, Book Now",Private,9223630531
Dr Bandal Arogya Hospital,"1St Floor, Golden Park, Opp.Navneet Motors, L.B.S. Marg, Thane West","Few Left, Book Now",Private,9006163530
Dr D Y Patil Hospital & Research Centre,"Sector-5,Nerul",Unknown,Unknown,9629340399
Dr Handral Nursing Home,"No.14,Rajendra Nagar,",Unknown,Unknown,9985349308
Dr Kamakshi National Hospital,No 12 Jaffer Serang Streetsecond Line Beach Chennai,"Few Left, Book Now",Private,9844579262
Dr Kandoi Ashirwad Hospitals,Ganesh Ashish Apt Vadavli Section Ambernath(E),Unknown,Government,9586680911
Dr Kundan Lal Hospital,"Ahmedgarh,",Unknown,Unknown,9708726704
Dr Lankesh Eye Hospital Pvt Ltd,No-2 41St Street. 6Th Avenue. Ashok Nagarashok Nagar,Unknown,Unknown,9332022183
Dr Lodaya Hospital,"Ashwini Nagar,Just Behind Bus Stand,",Unknown,Unknown,9343299018
Dr M Prakash Hospital & Medical Research Centre,Begum Bridge Road Gic Near Meerect,Unknown,Unknown,9720464444
Dr Mahadevappa Eye Laser Hospital,"15Th Cross, S.S. Puram, (Horticulture Office Road) Tumkur-572102",Unknown,Unknown,9030265322
Dr Manoharan Hospital,"No.1210,Thadagam Road,Near To Aavin Milk Company,R.S. Puram,",Unknown,Unknown,9534625646
Dr Nutan Shah Eye Hospital & Advanced Phaco Centre,"1, Devdeep Complex, Delux Cross, Nizampura",Unknown,Unknown,9486433053
Dr Pattabhirama Rao (Siromani Hospital),"No.4-1-7,Ramnagar,Kothagudem-507101",Unknown,Unknown,9380933272
Dr Rama Sofat Hospital,"No.435,College Road,Adjacent Malwa Girls Khalsa School,",Unknown,Unknown,9955304919
Dr Ramesh Hospital For Piles & Proctology,410 Contour Road Gokulam Mysore -570002,Available,Government,9501630628
Dr Rane Hospital (P) Ltd,"37,Pestom Sagar, Chembur37, Pestom Sagar, Chembur",Unknown,Unknown,9273882324
Dr Rani Menon'S Eye Clinic,"18/470, Civil Lane Road, Chungam, Thrissur Kerala-680004",Unknown,Unknown,9047460824
Dr Sreedhar'S Kidney & Multispeciality Hospital,"No.13-6-437/1/L/1,Khaderbagh,Nanal Nagar,",Unknown,Unknown,9738686648
Dr Ysr Memorial Hospital,"#12-2-878, 1Cross, Sai Nagar, Anantapur-515001 (A.P.)",Unknown,Unknown,9748004786
Dr. A. Ansari Hospital,"# 20, Naganathar Sannadhi, Nagapattinam, Tamilnadu",Unknown,Unknown,9471281934
Dr. A. Govindarajan Eye Hospitals,"No: 6, Officer'S Colony, Puthur Tiruchirapalli-620017Trichy",Unknown,Unknown,9881029158
Dr. Agarwal'S Eye Hospital (Rep By Dr. Agarwal'S Health Care Ltd.),"#6-3-712/80 And 81, Punjagutta Colony, Hyderabad, A.P.-500082","Few Left, Book Now",Private,9648464523
Dr. Agarwal'S Eye Hospital (Rep. By Dr. Agarwal'S Health Care Ltd.),"Bbc Tower, Link Road Square, Madhupatna, Cuttack-753010",Limited Seats,Municipal,9364511284
Dr. Ajayan'S Multispeciality Hospital,"Plot #6, Sector-9, Opposite Rf Naik School Ground, Koparkhairane",Unknown,Unknown,9251944874
Dr. Akbar Eye Hospital,#12-3-2 346Th Lane Sai Nagar Ananthapur,Unknown,Unknown,9292520325
Dr. Anji Reddy Multi-Speciality Hospital Pvt Ltd,"16/682, Piduguralla Main Road.",Unknown,Unknown,9766529411
Dr. Arvind Vision Care,"#61, Reddy Palayam Road, Mogappair West, Chennai, Tamilnadu","Few Left, Book Now",Private,9045076439
Dr. Ashish Dave Eye Hospital,"'Aakash' Complex, Station Road, Maninagarahmedabad-380008.","Few Left, Book Now",Private,9640592360
Dr. Ashit Shah Eye Hospital,"# 202, Shaival Complex, Opp:Chandanbala Tower, Paldipaldi, Ahmedabad-380007.","Few Left, Book Now",Private,9203035829
Dr. Ashok Mittal Hospital,"# 249-A,Main Road, Vaishali Nagar.",Unknown,Unknown,9526043570
Dr. Ashok Patil Clinic,"Kinikar Patil Estate, Vishrambag,Sangli",Unknown,Unknown,9491333453
Dr. Atray Eye Hospital,"19-20, Townhall Link Road, Udaipur, Near Corporation Bank, Rajasthan, Udaipur",Unknown,Unknown,9797554968
Dr. Atul Shah Eye Hospital,"3Rd Floor, Narottam Complex,Bhuyangdev Cross Road,Ahmedabad","Few Left, Book Now",Private,9974835608
Dr. Bawaris Nursing Home,"Parbatia Road, Tinukin.",Unknown,Unknown,9737935366
Dr. Bedekars Hospital,"Shiu-Shakti Anupade, Thane.","Few Left, Book Now",Private,9643951435
Dr. Bhandare Hospital,Fontainhas Panaji Northgoa,Available,Government,9661131726
Dr. Bidari'S Ashwini Hospital,B.L.D.E. Road,Unknown,Unknown,9427950311
Dr. Bothra'S Hospital,"Ramkrishna Building,1St Floor, Gadav Naka, Bhandup West",Unknown,Government,9957040179
Dr. Caeiro Bicholim Polyclinic Hospital,"Sonarpeth, Bicholim,North-Goa, Goa-403504",Available,Government,9454661164
Dr. Deepak Hospital,"Savedi Road, Ahmednagar",Unknown,Unknown,9201610541
Dr. Dijesh Shah'S Meru Nursing Home,"75 B, Mahila Welfare Society,Chittaranjan Chowk, Vidhyanagar, Bhuvnagar, Gujarat",Unknown,Unknown,9173433011
Dr. Eye Hospital,"1St Floor, Viral Apts,S V Road,S.V. Road,Anderi West, Mumbai.","Few Left, Book Now",Private,9551901449
Dr. G.C. Hospital,"#30, North Pradakshanam Road, Karur, Tamilnadu.",Unknown,Unknown,9855618312
Dr. G.K. Srivastava Hospital Pvt Ltd,"13-D, Rampur Garden.",Unknown,Unknown,9600362122
Dr. Gandhi Orthopaedic Hospital,"Vidyanagar Main Road, Sarvoday Sankool.",Unknown,Unknown,9978115949
Dr. Gandhi'S Nursing Home Pvt Ltd,"101/102/202, Mangamurti Chs, Off.Bole Road, Mumbai-400028","Few Left, Book Now",Private,9259777321
Dr. Gokavi Maternity & General Hospital,Karwar Road Hubli,Unknown,Unknown,9778327778
Dr. Govind Gupta Hospital,"#135, Krishna Nagar",Unknown,Unknown,9321206796
Dr. Grace George Hospital,"# 34, Udayavar Koil Street,Thirumizhisai, Poonamalee.",Unknown,Unknown,9274246233
Dr. H.B. Eye Hospital,"Surendranagar,Near Milan Cinema, Gujarat",Unknown,Unknown,9454684781
Dr. Ithape Hospital,"New Nagad Road, Sangamner,Ahmednagar, Pune-422605.","Few Left, Book Now",Private,9481452071
Dr. Jacquline Divyananda (Divya Hospital),"# 20, Medavakkam Main Road, Madipakkam",Unknown,Unknown,9274476224
Dr. Jawaharlal Rohatgi Smarak Netra Chikitsalaya,"117/52, Sarvodaya Nagar,Near Bhoot Nath Mandhir.",Unknown,Unknown,9753764591
Dr. Jayant Shah Hospital,"Santram Road, Nadiad,Kheda, Gujarat-387001.",Unknown,Unknown,9628153663
Dr. Jayesh C. Gandhi Surgical Hospital,"Old Junction Road, B/H. Boston Guest House.",Unknown,Unknown,9479039977
Dr. Jeyasekharan Medical Trust,"#1159, K.P. Road, Nagerkoil.",Unknown,Unknown,9692046548
Dr. Jialal Memorial Hospital Pvt Ltd,"Opp. Medical College, Gate-2",Unknown,Unknown,9792110795
Dr. K.M. Nallaswamy Hospital,"#93, Power House Road,Erode",Unknown,Unknown,9535440006
Dr. Kamra'S Urinary & Surgical Diseases Centre,"8, Inder Road,",Unknown,Unknown,9225476611
Dr. Kannure Hospital & Iccu,F-2 D-2 Sector-9Main Road Vashi,Unknown,Unknown,9251278268
Dr. Kantak'S Hospital,Bishop Rebello Road,Unknown,Unknown,9571232569
Dr. Khunger Eye Care & Research Center Pvt. Ltd.,"#1109, Near Post Office Opp To Pnb Ramganj, Belwar Road, Ajmer ,Rajasthan",Unknown,Unknown,9564797341
Dr. Khunger'S Eye Care Centre,"Beawar Road, Near Post Office, Ramganj",Unknown,Unknown,9753303368
Dr. Kothari Eye Hospital,"G-31, Makarwali Road, Ajmer",Unknown,Unknown,9430448359
Dr. Kulkarni Hospital,"10A 11 Kalyan Peth,Junnar","Few Left, Book Now",Government,9687716607
Dr. Kumaraswami Health Centre ( A Unit Of Indian Medical Centre),"N.H. Road # 47, 1/4C,1/4D,1/4E Perumalpuramperumalpuram, Kanyakumari.",Unknown,Unknown,9745735777
Dr. Kunhalu'S Nursing Home,"T.D.Road, Ernakulamernakulam",Unknown,Unknown,9837340676
Dr. Loganathan Orthopaedic Hospital,"606/A, Mettur Main Road, Bhavani,",Unknown,Unknown,9446220840
Dr. M.L.Gupta Memorial Centre,"B.P. 5E/4, Railway Road, Nit,Nit - Faridabad,","Few Left, Book Now",Private,9301744059
Dr. Mahesh Rathod Hospital,"1, Sardarnagar, Nr. Astran Chowk, Rajkot",Limited Seats,Municipal,9296900456
Dr. Malathi Manipal Hospital,"45/1, 45Th Cross, 9Th Block, Jayanagar, Bangalore-560069","Few Left, Book Now",Private,9993594794
Dr. Manish Patankars Nath Hospital,"101, A-Wing, Golden Havens Apartments, Kolbad Road, Khopat, Thana West-400601",Unknown,Unknown,9263800848
Dr. Manohara Sai Gowda Memorial Hospital,"Nh-4, Opposite Inspection Bungalow, Mulbagal",Unknown,Unknown,9412536132
Dr. Mehta'S Multispeciality Hospital Pvt Ltd.,"2 (E), Mc. Nicholas Road, Chennai, Opposite To Chetpet Police Station.","Few Left, Book Now",Private,9657272712
